year_added,type,rating,freq
2019,"TV Show",TV-14,130
2019,Movie,TV-14,298
2019,Movie,TV-MA,365
2019,"TV Show",TV-PG,45
2019,"TV Show",TV-MA,166
2019,Movie,TV-PG,106
2019,Movie,R,213
2019,Movie,TV-Y,4
2019,Movie,PG,89
2019,Movie,G,9
2019,Movie,PG-13,134
2019,"TV Show",TV-Y7-FV,5
2019,Movie,TV-G,26
2019,"TV Show",TV-Y7,11
2019,"TV Show",TV-G,12
2019,Movie,NR,12
2019,"TV Show",TV-Y,11
2019,Movie,TV-Y7,7
2019,Movie,UR,4
2019,Movie,TV-Y7-FV,5
2019,"TV Show",R,1
2019,Movie,NC-17,1
2018,Movie,TV-MA,407
2018,Movie,NR,32
2018,"TV Show",TV-14,73
2018,"TV Show",TV-MA,126
2018,Movie,TV-14,342
2018,Movie,R,130
2018,Movie,PG-13,55
2018,"TV Show",TV-PG,36
2018,"TV Show",TV-Y7,9
2018,Movie,TV-PG,140
2018,Movie,TV-Y7,16
2018,"TV Show",TV-G,6
2018,"TV Show",TV-Y,5
2018,Movie,PG,36
2018,Movie,TV-G,21
2018,"TV Show",TV-Y7-FV,3
2018,Movie,TV-Y,6
2018,Movie,G,13
2018,"TV Show",NR,2
2018,2018-08-15," Heather McDonald",1
2018,Movie,TV-Y7-FV,1
2018,"TV Show",,1
2017,"TV Show",TV-Y,11
2017,Movie,TV-MA,334
2017,"TV Show",TV-MA,54
2017,"TV Show",TV-PG,40
2017,Movie,TV-14,214
2017,Movie,R,70
2017,"TV Show",TV-14,89
2017,Movie,TV-PG,107
2017,Movie,TV-G,16
2017,Movie,TV-Y7,11
2017,Movie,NR,55
2017,Movie,PG-13,27
2017,Movie,PG,21
2017,Movie,TV-Y,11
2017,"TV Show",TV-Y7-FV,2
2017,Movie,TV-Y7-FV,5
2017,"TV Show",TV-Y7,8
2017,"TV Show",NR,5
2017,"TV Show",TV-G,6
2017,Movie,G,4
2017,Movie,UR,2
2017,Movie,,2
2016,Movie,TV-MA,68
2016,"TV Show",TV-14,66
2016,Movie,TV-14,45
2016,Movie,NR,60
2016,Movie,PG-13,6
2016,Movie,TV-PG,26
2016,Movie,TV-Y7,8
2016,Movie,PG,4
2016,"TV Show",TV-MA,22
2016,"TV Show",TV-PG,21
2016,"TV Show",R,1
2016,Movie,TV-G,2
2016,Movie,UR,1
2016,"TV Show",,1
2016,Movie,R,14
2016,Movie,G,2
2016,"TV Show",TV-Y7,4
2016,"TV Show",TV-Y,4
2016,Movie,,2
2016,"TV Show",TV-Y7-FV,19
2016,Movie,NC-17,1
2016,"TV Show",TV-G,2
2016,Movie,TV-Y7-FV,8
2015,"TV Show",TV-14,2
2015,Movie,NR,18
2015,Movie,TV-MA,10
2015,"TV Show",TV-G,4
2015,Movie,TV-Y7-FV,1
2015,Movie,TV-Y,2
2015,Movie,TV-G,3
2015,Movie,TV-14,6
2015,"TV Show",TV-Y7,1
2015,"TV Show",TV-PG,5
2015,"TV Show",TV-MA,3
2015,Movie,R,3
2015,"TV Show",TV-Y7-FV,1
2015,Movie,TV-Y7,1
2015,Movie,PG-13,2
2015,Movie,TV-PG,1
2015,Movie,PG,2
2015,Movie,G,1
2014,Movie,TV-MA,5
2014,Movie,TV-PG,2
2014,Movie,TV-Y,1
2014,Movie,PG,3
2014,Movie,NR,5
2014,Movie,TV-14,1
2014,Movie,TV-Y7,1
2014,Movie,G,1
2013,Movie,TV-G,1
2013,Movie,PG,1
2013,"TV Show",NR,1
2013,Movie,NR,1
2013,"TV Show",TV-PG,1
2013,"TV Show",TV-MA,1
